#DDB;#CAS;NAME_DDB;NAME_UD;disp. e/kB [K];Mainclass
23982;;Butyl-2-hydroxyethyl-dimethyl ammonium tetrafluoroborate;;;
23985;;1,3-Dihexyloxymethylimidazolium tetrafluoroborate;;;
23989;478935-29-4;1-Hexyl-3-methylimidazolium hydrogensulfate;;;
23990;412009-61-1;1-Ethyl-3-methylimidazolium hydrogensulfate;;;
24050;1100-88-5;Triphenylbenzylphosphonium chloride;;;
24062;;1,2,4,6,8-Pentamethylnaphthalene;;;
24076;;1,3-Dihexyloxymethylimidazolium bis(trifluoromethylsulfonyl)imide;;;
24077;69056-62-8;Tributylmethylphosphonium methylsulfate;;;
24157;98-04-4;Trimethylphenylammonium iodide;;;
24163;52617-03-5;3-Aminoheptane;;;
24280;;3-Methyl-1-vinylimidazolium methylsulfate;;;
24285;122-70-3;alpha-Methylbenzyl propionate;;;
24305;790663-77-3;1-Ethyl-3-methylimidazolium diethyleneglycolmonomethylethersulfate;;;
24309;;1-Butyronitrile-3-methylimidazolium bis(trifluoromethylsulfonyl)imide;;;
24318;;Cesium thiocyanate;;;
24393;;2-Aminononane;;;
24396;174899-89-9;1-Butyl-3-ethylimidazolium bis(trifluoromethylsulfonyl)imide;;;
24397;174899-88-8;1,3-Diethylimidazolium bis(trifluoromethylsulfonyl)imide;;;
24442;;1-Isobutyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide;;;
24444;178631-01-1;1-Methoxyethyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide;;;
24493;;N,N-Diethylhexanamide;;;
24494;111085-13-3;N,N-Dipentylpropionamide;;;
24505;;Uranyl trifluoroacetate;;;
24613;;2,4,4,6-Tetramethyl-1,3-dioxane;;;
24623;;1-Ethyl-2,3-dimethylimidazolium tetrafluoroborate;;;
24727;15572-25-5;Thallium(I) selenide;;;
24769;60-31-1;Acetylcholine chloride;;;
24775;1315-06-6;Tin selenide;;;
24882;;1-Hexyl-3-ethylimidazolium bis(trifluoromethylsulfonyl)imide;;;
24883;;1-Butyl-3-ethylimidazolium hexafluorophosphate;;;
25080;1927-06-6;Choline bromide;;;
25083;7221-40-1;Benzyldimethylethanolammonium chloride;;;
25190;258273-77-7;Dimethyl-ethyl-propylammonium bis(trifluoromethylsulfonyl)imide;;;
25192;210230-48-1;Triethyloctyl ammonium bis(trifluoromethylsulfonyl)imide;;;
25203;405514-94-5;Tributylmethylammonium bis(trifluoromethylsulfonyl)imide;;;
25204;344774-05-6;Triisobutylmethylphosphonium p-toluenesulfonate;;;
25219;;1-Ethyl-3-methylimidazolium perfluorobutanesulfonate;;;
25234;;1-Decyl-3-methylimidazolium tetrafluoroborate;;;
25236;61755-34-8;1-Hydroxyethyl-3-methylimidazolium chloride;;;
25247;3879-02-5;Rubidium thiocyanate;;;
25319;;1-Butyl-3-methylimidazolium bromide - aluminum trichloride;;;
25324;;(-)-Carveol (cis/trans isomer not specified);;;
25412;;Thorium(IV) nitrate bis(Tributyl phosphate);;;
25414;;Gadolinium(III) nitrate tris(Tributyl phosphate);;;
25464;2950-47-2;Dibutyl-phosphinic acid butyl ester;;;
25699;29463-06-7;Tris(2-hydroxyethyl)methylammonium methylsulfate;;;
25700;608140-12-1;1-Methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide;;;
25705;;Triethylsulfonium bis(trifluoromethylsulfonyl)imide;;;
25706;350493-08-2;1-Butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)imide;;;
25709;;Acetylcholine bis(trifluoromethylsulfonyl)imide;;;
25713;;1-Decyl-3-methylimidazolium hexafluorophosphate;;;
25715;203389-26-8;1-Hexyl-3-methylimidazolium nitrate;;;
25716;203389-27-9;1-Octyl-3-methylimidazolium nitrate;;;
25717;412009-62-2;1-Decyl-3-methylimidazolium trifluoromethylsulfonate;;;
25722;220956-35-4;1-Butyl-3-methylimidazolium perchlorate;;;
25815;623580-02-9;1-Butyl-1-methylpiperidinium bis(trifluoromethylsulfonyl)imide;;;
25816;;1-Octyl-1-methylpiperidinium bis(trifluoromethylsulfonyl)imide;;;
25838;;Aluminum chloride diethyletherate;;;
25839;;Beryllium chloride bis(diethyletherate);;;
25909;;N,N-Diethyl-2,5-dimethylbenzamide;;;
26036;;Ethyl-(2-hydroxyethyl) dimethylammonium bis(trifluoromethylsulfonyl)imide;;;
26050;;Didecyl terephthalate;;;
26090;14874-86-3;Ammonium tetrafluoro beryllate;;;
26091;654057-97-3;Trihexyl tetradecyl phosphonium bromide;;;
26092;465527-59-7;Trihexyl tetradecyl phosphonium bis(2,4,4-trimethylpentyl)phosphinate;;;
26093;;Trihexyl tetradecyl phosphonium decanoate;;;
26200;;1-Methylimidazolium dibutylphosphate;;;
26234;;N-Butyl-4-methylpyridinium tosylate;;;
26323;868-18-8;Disodium Tartrate;;;
26390;;Uranyl monochloroacetate;;;
26391;;Uranyl trichloroacetate;;;
26456;58846-77-8;n-Decyl-.beta.-D-glucopyranosid;;;
26475;;Sodium aluminum sulfate;;;
26510;2002-24-6;Monoethanolamine hydrochloride;;;
26511;14426-21-2;Diethanolamine hydrochloride;;;
26512;;Triethanolamine hydrochloride;;;
26548;;n-Butyl-(2-hydroxyethyl) dimethylammonium bis(trifluoromethylsulfonyl)imide;;;
26568;;Sodium thioantimonate;;;
26647;3615-37-0;D(+)-Fucose;;;
26695;516474-01-4;[EMIM] methylsulfate;;;
26748;103173-73-5;1-Ethylpyridinium hexafluorophosphate;;;
26755;;Tetrabutylphosphonium formate;;;
26774;331717-63-6;1-Ethyl-3-methylimidazolium thiocyanate;;;
26782;527-07-1;Sodium-D-gluconate;;;
26807;21722-83-8;2-Cyclohexylethyl acetate;;;
26808;4442-79-9;2-Cyclohexylethanol;;;
26821;;Trimethyl orthotrifluoroacetate;;;
26826;38861-78-8;4-Isobutylacetophenone;;;
26827;;Sodium stearate;;;
27019;3922-28-9;1,12-Dichlorododecane;;;
27050;;2,4,6-Trinitro-N-ethylaniline;;;
27167;110-98-5;Bis(2-hydroxypropyl) ether;;;
27229;;1-(2-n-Propoxy-1-methylethoxy)-2-propanol;;;
27230;88917-22-0;Dipropylene glycol methyl ether acetate;DIPROPYLENE_GLYCOL_MONOMETHYL_ETHER_ACETATE;101.4525923;no_class_defined_in_mainclasses.txt
27274;888320-05-6;1-Hexyl-3-methylimidazolium acetate;;;
27284;404001-48-5;1-Dodecyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide;;;
27303;;Nonaethylenglykol mono-p-isooctylphenylether;;;
27504;;Sodium butyl monoethylene glycol sulfate;;;
27604;562-74-3;Terpinen-4-ol;;;
27650;23251-72-1;Bis(2-Hydroxyethyl) ammonium acetate;;;
27851;54634-49-0;1-Nitroso-2-pyrrolidone;;;
27874;16395-81-6;N-Methyl-N-nitrosobutyramide;;;
27886;29118-24-9;(E)-1,3,3,3-Tetrafluoroprop-1-ene;;;
27962;1190-63-2;Hexadecyl stearate;;;
28214;;1-Butyl-3-methylpyridinium tosylate;;;
28215;;1-Hexyl-3-methylpyridinium tosylate;;;
28216;59229-09-3;2,4,6-Collidinium tosylate;;;
28217;847499-74-5;1-Hexyl-3-methylimidazolium thiocyanate;;;
28237;;1,3-Dimethylpyridinium tosylate;;;
28350;15687-27-1;(+/-)-Ibuprofen;IBUPROFEN;101.27375;Acids
28483;;Beryllium thiocyanate;;;
28492;;1,3-Dibutylimidazolium bis(trifluoromethylsulfonyl)imide;;;
28596;;1-Butyl-3-methylimidazolium ethylsulfate;;;
28623;151200-14-5;1-Methylimidazolium tetrafluoroborate;;;
28624;712355-12-9;N-Butyl-3-methylpyridinium dicyanamide;;;
28626;370865-80-8;1-Butyl-1-methylpyrrolidinium dicyanamide;;;
28628;;1-Butyl-1-methylpyrrolidinium thiocyanate;;;
28647;59-02-9;alpha-Tocopherol;;;
28652;5306-85-4;Isosorbide dimethyl ether;DIMETHYL-ISOSORBIDE;109.0076667;Ether
28664;286453-46-1;1-Butyl-2-methylpyridinium tetrafluoroborate;;;
28689;;Monoethanolammonium nitrate;;;
28691;;Diethanolammmonium nitrate;;;
28692;;Triethanolammmonium nitrate;;;
28808;3458-72-8;Triammonium citrate;;;
28810;51307-92-7;Disodium tartrate (+/-);;;
28844;356065-50-4;Brazil nut oil;;;
28845;438545-25-6;Macadamia nut oil;;;
28944;29122-68-7;Atenolol;;;
28979;;Dibutyl-diethylamino phosphine oxide;;;
28980;;Butyl-di(diethylamino) phosphine oxide;;;
28981;;Tri-(diethylamino) phosphine oxide;;;
28982;;Heptyl diethyl phosphine oxide;;;
28983;;Ethyl dipentyl phosphine oxide;;;
28984;;Hexyl dipropyl phosphine oxide;;;
28985;;Octyl diethyl phosphine oxide;;;
29023;244193-48-4;1-Propyl-3-methylimidazolium tetrafluoroborate;;;
29308;18479-58-8;2,6-Dimethyl-7-octen-2-ol;;;
29347;;N-Methyl-2-hydroxyethylammonium acetate;;;
29348;;N-Methyl-2-hydroxyethylammonium propanoate;;;
29349;;N-Methyl-2-hydroxyethylammonium butyrate;;;
29351;;N-Methyl-2-hydroxyethylammonium pentanoate;;;
29433;;Tributyl tetradecyl phosphonium chloride;;;
29519;2190-04-7;Octadecylammonium acetate;;;
29541;98892-75-2;1-Butyl-2,3-dimethylimidazolium chloride;;;
29625;25155-30-0;Sodium dodecylbenzenesulfonate (mixture of isomeres);;;
29810;;Dichlorobenzene <Isomer not specified>;;;
29852;433337-21-4;1-Nonyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide;;;
30054;377739-43-0;1-Ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate;;;
30341;;1-Butyl-3-methylimidazolium glutamic acid (1:1);;;
30351;116237-97-9;Tetra-n-butylphosphonium tosylate;;;
30358;;Tetra-n-butylphosphonium methanesulfonate;;;
30367;25322-68-3;Polyethylene glycol 1000;;;
30583;474368-70-2;N-Hexylpyridinium tetrafluoroborate;;;
30747;25322-68-3;Polyethylene glycol 4000;;;
30764;68439-51-0;DEHYPON LS 54;;;
30789;;1-Octyl-3-methylimidazolium bis(pentafluoroethylsulfonyl)imide;;;
30800;390423-43-5;1-Butylpyridinium trifluoromethanesulfonate;;;
30825;;1-Heptyl-3-methylimidazolium bromide;;;
30841;;1-Ethyl-3-methylimidazolium L-.alpha.-aminopropionic acid salt;;;
30848;;1-Ethyl-3-methylimidazolium aminoethanic acid salt;;;
30918;171611-11-3;Lithium bis(fluorosulfonyl)imide;;;
30940;857841-32-8;1-Butyl-3-methylpyridinium trifluoromethanesulfonate;;;
31059;;Silver(I)(N,N-dimethylbenzoamide) bis(trifluoromethylsulfonyl)imide;;;
31088;1984-58-3;2,5-Dichloroanisole;;;
31089;36404-30-5;3,4-Dichloroanisole;;;
31099;60633-25-2;2-Bromo-4-chloroanisole;;;
31135;7372-88-5;4-Methyl-dibenzothiophene;;;
31351;;N-Butylquinolinium bis(trifluoromethylsulfonyl)imide;;;
31371;179863-07-1;1-Methylimidazolium-3-butylsulfonate;;;
31372;;1-Octyl-3-methylimidazolium acetate;;;
31461;593-29-3;Potassium stearate;;;
31498;6753-98-6;alpha-Caryophyllene;;;
31522;1779-49-3;Methyltriphenylphosphonium bromide;;;
31598;35487-17-3;1-Methylimidazolium chloride;;;
31609;712354-99-9;1-Ethyl-2-methylpyridinium bis(trifluoromethylsulfonyl)imide;;;
31610;841251-37-4;1-Ethyl-3-methylpyridinium bis(trifluoromethylsulfonyl)imide;;;
31611;712355-03-8;1-Ethyl-4-methylpyridinium bis(trifluoromethylsulfonyl)imide;;;
31638;507-63-1;Perfluorooctyl iodide;;;
31650;;N-Methylpyridinium methylsulfate;;;
31661;;Tetrabutylammonium dodecyl sulfate;;;
31665;;1-Methyl-3-propylpyridinium hexafluorophosphate;;;
31702;1251-85-0;Diantipyrylmethane;;;
31703;;Methyldiantipyrylmethane;;;
31704;;Propyldiantipyrylmethane;;;
31791;;1-Butyl-3-methylimidazolium tetraisothiocyanato-cobaltate(II);;;
31792;;1-Ethyl-3-methylimidazolium tetraisothiocyanato-cobaltate(II);;;
31891;;Bis(2-hydroxyethyl)ammonium propionate;;;
31910;;1-Butyl-1-methylpiperidinium thiocyanate;;;
32025;87-72-9;L-(+)-Arabinose;;;
32032;;1-Ethyl-2,3-dimethylimidazolium ethylsulfate;;;
32050;635-89-2;Diamylbenzene;;;
32052;;Amylnaphthalene;;;
32077;1207-12-1;4,6-Dimethyldibenzothiophene;;;
32157;112400-86-9;4-Methyl-N-butylpyridinium chloride;;;
32158;125652-55-3;3-Methyl-N-butylpyridinium chloride;;;
32292;;1-Ethyl-1-methylpiperidinium bis(trifluoromethylsulfonyl)imide;;;
32320;;Propyldibutylphosphine oxide;;;
32406;;1-(3-Hydroxypropyl)pyridinium bis(trifluoromethylsulfonyl)imide;;;
32411;;1-(3-Hydroxypropyl)pyridinium trifluorotris(perfluoroethyl)phosphate;;;
32468;;Imidazolium chloride;;;
32569;;N-Butyl-3-methylpyridinium tricyanomethanide;;;
32570;;1,1,1,2,2,3,3,4,4-Nonafluorononane;;;
32571;;1,1,1,2,2,3,3,4,4-Nonafluorodecane;;;
32572;;1,1,1,2,2,3,3,4,4-Nonafluorododecane;;;
32573;9002-93-1;Triton-X-114;;;
32584;666823-18-3;1-Ethyl-3-methylimidazolium tricyanomethide;;;
32598;;1-Ethyl-3-methylimidazolium butylsulfate;;;
32599;942916-86-1;1-Ethyl-3-methylimidazolium hexylsulfate;;;
32609;647-42-7;3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluoro-1-octanol;;;
32625;342789-81-5;1-Butyl-3-methylimidazolium methanesulfonate;;;
32662;;1,3-Dimethylimidazolium methyl phosphonate;;;
32695;171058-21-2;1-Tetradecyl-3-methylimidazolium chloride;;;
32715;;1-Ethyl-3-butylbenzotriazolium hexafluorophosphate;;;
32748;9002-92-0;Polyethylene glycol dodecyl ether (Brij 35);;;
32830;;1-Pentyl-3-methylimidazolium bromide;;;
32833;;1-(6-Hydroxyhexyl)-3-methylimidazolium chloride;;;
33099;;N-Benzylpyridinium bis(trifluoromethylsulfonyl)imide;;;
33100;433337-24-7;1-Benzyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide;;;
33117;;N-Hexyl-3-methylpyridinium chloride;;;
33173;;1-Pentyl-3-methylimidazolium chloride;;;
33188;;1,1,1,2,2,3,3,4,4,5,5,6,6-Tridecafluoro-dodecane;;;
33191;929-73-7;Dodecylamine hydrochloride;;;
33231;107-43-7;Glycine betaine;;;
33254;927021-42-9;N-Hexylquinolinium bis(trifluoromethylsulfonyl)imide;;;
33257;;N-Octylisoquinolinium bis(trifluoromethylsulfonyl)imide;;;
33258;957763-47-2;N-Butylisoquinolinium bis(trifluoromethylsulfonyl)imide;;;
33289;;1-Butyl-1-methylpyrrolidinium tetracyanoborate;;;
33308;;1-Benzyl-3-methylimidazolium methylsulfate;;;
33309;36443-80-8;1-Benzyl-3-methylimidazolium chloride;;;
33344;;1-(2-Methoxyethyl)-1-methylpyrrolidinium tris(pentafluoroethyl) trifluorophosphate;;;
33345;757240-24-7;1-(2-Methoxyethyl)-1-methylpyrrolidinium  bis(trifluoromethylsulfonyl)imide;;;
33368;;1-Hexyl-3-methylimidazolium tetracyanoborate;;;
33369;;1-Butyl-3-methylimidazolium tetracyanoborate;;;
33370;655249-87-9;1-Allyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide;;;
33394;3012-65-5;Diammonium hydrogen citrate;;;
33528;;1-Butyl-3-methylpyridinium tetracyanoborate;;;
33671;;2-Hydroxyethyl ammonium propanoate;;;
33689;42107-37-9;1-(1-Chloroethenyl)-4-methyl-benzene;;;
33847;891772-94-4;1-Butyl-3-methylimidazolium dimethylphosphate;;;
33900;;4-(2-Methoxyethyl)-4-methylmorpholinium bis(trifluoromethylsulfonyl)imide;;;
33901;;1-(2-Methoxyethyl)-1-methylpiperidinium bis(trifluoromethylsulfonyl)imide;;;
33909;9002-93-1;Triton-X-165;;;
33920;235789-75-0;1-Ethyl-3-methylimidazolium bis(fluorosulfonyl)imide;;;
33955;;1-Hexyl-2,4-dimethylpyridinium bis(trifluoromethylsulfonyl)imide;;;
34073;;Tetra-n-butylammonium dodecylbenzenesulfonate;;;
34159;106572-68-3;Choline propanoate;;;
34237;;N-Methyl-2-hydroxyethylammonium hexanoate;;;
34257;;N-Butyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide;;;
34395;;1-Hexyl-3-methylimidazolium dicyanamide;;;
34449;;Trioctyl methylammonium octanoate;;;
34450;;Tetrakis(Decyl)ammonium 1-methylcyclohexanecarboxylate;;;
34451;;Tetraoctylammonium 2-methyl-1-naphthaoate;;;
34454;;1,3-Dibutyronitrile-imidazolium bis(trifluoromethylsulfonyl)imide;;;
34455;;1-Acryloyloxyethyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide;;;
34456;;1-[(Aminocarbonyl)methyl]-3-methylimidazolium bis(trifluoromethylsulfonyl)imide;;;
34457;189114-61-2;Silver bis(trifluoromethylsulfonyl)imide;;;
34465;;S-Butyltetrahydrothiophenium bis(trifluoromethylsulfonyl)imide;;;
34501;128446-35-5;2-Hydroxypropyl .beta.-cyclodextrin;;;
34532;;1-Decyl-3-methylimidazolium tetracyanoborate;;;
34533;;Trihexyl tetradecyl phosphonium tetracyanoborate;;;
34539;847499-72-3;1-Octyl-3-methylimidazolium thiocyanate;;;
34542;639092-18-5;Trihexyl tetradecyl phosphonium tris(pentafluoroethyl)trifluorophosphate;;;
34554;;1-Methylimidazolium perchlorate;;;
34559;;1-Butyl-3-ethylimidazolium tetrafluoroborate;;;
34560;;1-Butyl-3-propylimidazolium tetrafluoroborate;;;
34561;;1,3-Dibutylimidazolium tetrafluoroborate;;;
34562;14586-35-7;Choline acetate;;;
34563;3922-86-9;Choline butanoate;;;
34565;;Choline hexanoate;;;
34570;;1-Ethyl-3-methyl-pyridinium  bis(fluorosulfonyl)imide;;;
34571;16052-06-5;3-(4-(2-Hydroxyethyl)piperazin-1-yl)propanesulfonic acid;;;
34573;;Triethyl-heptyl ammonium bis(trifluoromethylsulfonyl)imide;;;
34574;;Triethyl-decyl ammonium bis(trifluoromethylsulfonyl)imide;;;
34575;;Triethyl-dodecyl ammonium bis(trifluoromethylsulfonyl)imide;;;
34579;;4-(2-Methoxyethyl)-4-methylmorpholinium trifluorotris(perfluoroethyl)phosphate;;;
34580;;(1-(2-Methoxyethyl)-1-methylpiperidinium trifluorotris(pentafluoroethyl)phosphate;;;
34593;6540-99-4;3,6,9,12,15,18,21,24,27,30-Decaoxadotetracontan-1-ol;;;
34644;10534-59-5;Tetrabutylammonium acetate;;;
34842;;9-Ethyl-dodecahydro-carbazole;;;
35033;;N-Octylpyridinium nitrate;;;
35044;203389-24-6;N-Butylpyridinium nitrate;;;
35209;13529-17-4;5-Formyl-2-furancarboxylic acid;;;
35270;2052-15-5;Levulinic acid n-butyl ester;;;
35282;;1-Propyl-1-methylpyrrolidinium trifluoromethanesulfonate;;;
35318;;N-Hexylisoquinolinium bis(trifluoromethylsulfonyl)imide;;;
35367;;N-Hexylisoquinolinium thiocyanate;;;
35378;384347-09-5;2-Methyl-N-butylpyridinium bis(trifluoromethylsulfonyl)imide;;;
35448;63393-96-4;Aliquat 336;;;
35476;681281-87-8;1-H-3-methylimidazolium hydrogensulfate;;;
35478;875-51-4;4-Bromo-2-nitroaniline;;;
35994;;1-Ethyl-3-methylimidazolium ethanesulfonate;;;
36027;5703-94-6;Tetraethylene glycol monodecyl ether;;;
36068;;Sodium 2-methyl-5(1-methylethyl)benzenesulfonate;;;
36111;;1-(2-Hydroxyethyl)-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate;;;
36153;12068-69-8;Bismuth selenide;;;
36168;;Lithium hydride;;;
36199;17274-16-7;Sodium 2,4-dimethylbenzoate;;;
36200;32642-28-7;Sodium 2,4,6-trimethylbenzoate;;;
36201;17264-53-8;Sodium p-tert-butylbenzoate;;;
36207;827-21-4;2,4-Dimethylbenzenesulfonic acid, sodium salt;;;
36208;6148-75-0;2,4,6-Trimethylbenzenesulfonic acid, sodium salt;;;
36220;63452-57-3;2-Methyl-5-tert-butylbenzenesulfonic acid, sodium salt;;;
36221;15763-80-1;2,5-Diisopropylbenzenesulfonic acid, sodium salt;;;
36316;9002-93-1;Triton-X-102;;;
36323;350-48-1;1-Ethylpyridinium tetrafluoroborate;;;
36330;;1-Hexyl-3-methylpyridinium trifluoromethanesulfonate;;;
36331;60415-61-4;2-Pentyl butyrate;;;
36431;10120-28-2;1,1,2,2,3,3,4,4,5,5,6-Undecadeuterio-6-(trideuteriomethyl)cyclohexane;;;
36744;8008-20-6;Kerosene;;;
36746;9005-65-6;Tween 80;;;
36758;;Sunflower Oil Biodiesel;;;
36816;521304-36-9;1,3-Dimethylimidazolium methanesulfonate;;;
36817;;1,3-Dibutylimidazolium methanesulfonate;;;
37215;;Palm oil;;;
37376;827033-71-6;N-Butylpyridinium dicyanamide;;;
37486;;Bis-(3-methyl-1-imidazole)-propylene hydrogen sulphate;;;
37487;;Bis-(3-methyl-1-imidazole)-hexylene hydrogen sulphate;;;
37534;;Canola Oil Biodiesel;;;
37666;1906-79-2;Ethylpyridinium bromide;;;
37737;;gamma-Tocotrienol;;;
37862;;3-p-Nonylphenoxy-2-hydroxypropyltrimethylammonium bromide;;;
37865;6283-86-9;2-Ethylhexyl lactate;;;
37925;;N-Octylisoquinolinium thiocyanate;;;
37997;956592-43-1;1-Butyl-3-cyanopyridinium bis((trifluoromethyl)sulfonyl)imide;;;
37999;;1-Hexyl-3-cyanopyridinium bis((trifluoromethyl)sulfonyl)imide;;;
38000;;1-Octyl-3-cyanopyridinium bis((trifluoromethyl)sulfonyl)imide;;;
38001;;1-Hexyl-4-cyanopyridinium bis((trifluoromethyl)sulfonyl)imide;;;
38092;;1-n-Octyl-3-methylimidazolium tetrachloroaluminate;;;
38228;541-09-3;Uranyl acetate;;;
38471;;1-Pentyl-1-methylpiperidinium bis(trifluoromethylsulfonyl)imide;;;
38472;927820-65-3;1-Hexyl-1-methylpiperidinium bis(trifluoromethylsulfonyl)imide;;;
38497;;N-hexyl-benzothiazolium hexafluorophosphate;;;
38565;878027-72-6;1-Butyl-1-methylpyrrolidinium tricyanomethanide;;;
38604;;1-Nonyl-3-methylimidazolium chloride;;;
39082;;1-(Z-Octadec-9-enyl)-3-methylimidazolium bis(trifluoromethylsulfonyl)imide;;;
39109;;Cholinium glycinate;;;
39110;;Cholinium L-alaninate;;;
39113;;Cholinium L-serinate;;;
39224;;1,1,1,2,2,3,3,5,5,5-Decafluoro-4-methoxy-4-(trifluoromethyl)pentane;;;
39605;;2,2-Dialkylpropionic acid (C9);;;
39776;;Versatic 9 vinyl ester;;;
39822;8001-29-4;Cottonseed oil;;;
40012;;1-Ethyl-3-methylpyridinium perfluorobutanesulfonate;;;
40077;;1-Propyl-3-methylimidazolium acetate;;;
40257;;4-Decyl-4-methylmorpholinium tetracyanoborate;;;
40258;;N-Decyl-N-methylmorpholinium bis(trifluoromethylsulfonyl)imide;;;
40358;;para-Hydrogen;;;
40383;;Alamine 300;;;
40548;827033-52-3;1-Butyl-1-methylpiperidinium dicyanamide;;;
40549;;1-Butyl-4-methylpyridinium dicyanamide;;;
40572;;Lithium deuteride;;;
40674;;N-(2-Hydroxyethyl) pyridinium bis(trifluoromethanesulfonyl)imide;;;
40837;;1-Hexyl-3-methylimidazolium methylsulfonate;;;
40839;;1-Hexyl-3-methylimidazolium ethylsulfonate;;;
40841;;1-Butyl-3-methylimidazolium ethylsulfonate;;;
40842;;1-Pentyl-3-methylimidazolium methylsulfonate;;;
40843;;1-Ethyl-3-methylimidazolium butylsulfonate;;;
40844;;1-Ethyl-3-methylimidazolium hexylsulfonate;;;
40896;;1-Hexyl-3-methylimidazolium nonafluorobutyl sulfonate;;;
40977;39198-07-7;N-Ethyl-N-methylpropan-2-amine;;;
41110;;1-Ethyl-3,5-dimethyl-2-pentylpyridinium bis(trifluoromethylsulfonyl)imide;;;
41119;;1-Butyl-4-cyanopyridinium bis((trifluoromethyl)sulfonyl)imide;;;
41247;898256-50-3;1-Hexyl-1,4-diaza[2.2.2]bicyclooctanium bis(trifluoromethylsulfonyl)imide;;;
41285;;1-Butylimidazolium bis(trifluoromethylsulfonyl)imide;;;
41286;;1-Butylpyrrolidinium bis(trifluoromethylsulfonyl)imide;;;
41295;;N-Ethyl-N-methylmorpholinium bis(trifluoromethylsulfonyl)imide;;;
42014;1319-77-3;Cresol (isomer not specified / undefined mixture of isomers);;;
42042;2923-28-6;Silver trifluoromethanesulfonate;;;
42044;501693-38-5;1-Ethylimidazolium nitrate;;;
42488;855788-60-2;Trihexyl tetradecyl phosphonium tricyanomethanide;;;
43173;;Ethyl(2-methoxyethyl)dimethylammonium trifluoridotris(pentafluoroethyl)phosphate;;;
43297;;N-Ethyl-N-methylmorpholinium dicyanamide;;;
43308;;1-Heptyl-3-methylimidazolium trifluoromethylsulfonate;;;
43323;2304-30-5;Tetrabutylphosphonium chloride;;;
43332;2016-36-6;Cholinium salicylate;;;
43334;87-67-2;Cholinium bitartrate;;;
43335;77-91-8;Cholinium dihydrogencitrate;;;
43351;;1-Butyl-1-methylmorpholinium tricyanomethanide;;;
43356;;Thallium(I) ethoxide;;;
43377;74440-81-6;N-Hexylpyridinium bromide;;;
43422;;Ethylimidazolium bis(trifluoromethanesulfonyl)amide;;;
43513;;1-(2-Methoxyethyl)-3-methylimidazolium bromide;;;
43520;74338-98-0;Glycerol-1-tert-butyl ether;;;
43521;;Glycerol-2-tert-butyl ether;;;
43522;;Glycerol-1,2-di-tert-butyl ether;;;
43523;79808-30-3;Glycerol-1,3-di-tert-butyl ether;;;
43524;;Glycerol-tri-tert-butyl ether;;;
43541;69227-51-6;N-Ethyl-N-methylpyrrolidinium bromide;;;
43543;65039-04-5;1-Ethyl-3-methylimidazolium perchlorate;;;
43562;;n-Hexanol-D;;;
43563;;n-Heptanol-D;;;
43564;;n-Nonanol-D;;;
43565;;1-Butyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide;;;
43566;;1-Butyl-3-isopentylimidazolium bis(trifluoromethylsulfonyl)imide;;;
43567;;1-Butyl-3-cyclopentylimidazolium bis(trifluoromethylsulfonyl)imide;;;
43611;;Silver dimolybdate;;;
43782;;1,3-Dipropylimidazolium bis(trifluoromethylsulfonyl)imide;;;
43783;;1,3-Dipentylimidazolium bis(trifluoromethylsulfonyl)imide;;;
43867;;Benzothiazolium methanesulfonate;;;
43970;;1-Hexyl-1,8-diazobicyclo[5.4.0]undec-7-ene thiocyanate;;;
44140;13205-57-7;2-Aminotridecane;;;
44141;13205-56-6;2-Undecanamine;;;
44142;617-79-8;2-Ethylbutylamine;;;
44149;464927-84-2;Diethyl-methyl-2-methoxyethyl ammonium bis(trifluoromethylsulfonyl)imide;;;
44152;541-15-1;(-)-L-Carnitine;;;
44153;90023-96-4;1-Methylbutyl methyl amine;;;
44348;;1-Vinyl-3-pentylimidazolium bromide;;;
44349;74921-79-2;1-Vinyl-3-hexylimidazolium bromide;;;
44350;349148-76-1;1-Vinyl-3-octylimidazolium bromide;;;
44351;349148-78-3;1-Vinyl-3-decylimidazolium bromide;;;
44354;;1-Vinyl-3-(ethyl-2-propanoate)imidazolium chloride;;;
44519;9004-95-9;Polyethylene glycol hexadecyl ether  (Brij 58);;;
44551;;2-Hydroxyethylammonium butanoate;;;
44552;;2-Hydroxyethylammonium pentanoate;;;
44558;347882-21-7;1-Propyl-3-ethylimidazolium bis(trifluoromethylsulfonyl)imide;;;
44565;;1,3-Didecylimidazolium bis(trifluoromethylsulfonyl)imide;;;
